# Wavelength (Angstrom)   Flux (arbitrary units)
3736.050052 1.608980e-01
3736.092678 1.395985e-01
3736.135303 -7.782965e-04
3736.177929 4.272164e-01
3736.220555 3.999669e-01
3736.263180 1.674725e-01
3736.305806 1.883916e-01
3736.348431 2.000189e-01
3736.391057 1.958653e-01
3736.433683 1.243180e-02
3736.476308 3.875856e-01
3736.518934 3.623350e-01
3736.561560 3.426939e-01
3736.604185 1.909138e-01
3736.646811 -1.510546e-01
3736.689436 1.843464e-01
3736.732062 1.326116e-01
3736.774688 3.061921e-01
3736.817313 2.147403e-01
3736.859939 2.230968e-01
3736.902564 3.862151e-01
3736.945190 2.696346e-01
3736.987816 1.935234e-01
3737.030441 4.494480e-01
3737.073067 4.394903e-01
3737.115692 2.990735e-01
3737.158318 2.254325e-01
3737.200944 2.593401e-01
3737.243569 1.560828e-01
3737.286195 4.630885e-01
3737.328821 4.919924e-01
3737.371446 3.008564e-01
3737.414072 2.499089e-01
3737.456697 5.014641e-01
3737.499323 5.700323e-01
3737.541949 3.375487e-01
3737.584574 3.096775e-01
3737.627200 4.560601e-01
3737.669825 3.647197e-01
3737.712451 2.311199e-01
3737.755077 8.468025e-02
3737.797702 2.751689e-01
3737.840328 3.663923e-01
3737.882953 2.652615e-01
3737.925579 4.184973e-01
3737.968205 4.651789e-01
3738.010830 2.125451e-01
3738.053456 2.272997e-01
3738.096082 4.382616e-01
3738.138707 3.082466e-01
3738.181333 3.657555e-01
3738.223958 5.424322e-01
3738.266584 2.808713e-01
3738.309210 3.211345e-01
3738.351835 2.697548e-01
3738.394461 4.209593e-01
3738.437086 1.422715e-01
3738.479712 5.100046e-01
3738.522338 4.409263e-01
3738.564963 4.295239e-01
3738.607589 3.369276e-01
3738.650214 5.952138e-01
3738.692840 4.557376e-01
3738.735466 2.500708e-01
3738.778091 2.691756e-01
3738.820717 2.354776e-01
3738.863342 4.942732e-01
3738.905968 2.876191e-01
3738.948594 3.679252e-01
3738.991219 3.639005e-01
3739.033845 6.334514e-01
3739.076471 4.008888e-01
3739.119096 3.202752e-01
3739.161722 4.879101e-01
3739.204347 3.663910e-01
3739.246973 5.317271e-01
3739.289599 4.253611e-01
3739.332224 4.396770e-01
3739.374850 4.825764e-01
3739.417475 2.513260e-01
3739.460101 4.974219e-01
3739.502727 4.687733e-01
3739.545352 3.166938e-01
3739.587978 3.065495e-01
3739.630603 3.154097e-01
3739.673229 3.855717e-01
3739.715855 5.036538e-01
3739.758480 5.242216e-01
3739.801106 5.285232e-01
